#AIDA Gains generated on 2021-08-09 10:54:07.438183
#!DSSD
# DSSD X/Y STRIP GAIN
0 X 77 0.692559009555809
0 X 78 0.6932884428643066
0 X 79 0.7058891238893982
0 X 80 0.6962032451588988
0 X 81 0.6911422458426278
0 X 82 0.6967762156445322
0 X 83 0.6931910709171393
0 X 84 0.69511403928282
0 X 85 0.6949534859644291
0 X 86 0.6963469897958238
0 X 87 0.6897579820527797
0 X 88 0.6933339675998308
0 X 89 0.69316887469884
0 X 90 0.6919579852759843
0 X 91 0.6961886655177979
0 X 92 0.6970256193247786
0 X 93 0.6939603723389401
0 X 94 0.6986583106890858
0 X 95 0.6969392237267735
0 X 96 0.6942751581126392
0 X 97 0.6955951234297584
0 X 98 0.6929341066036824
0 X 99 0.6952579079992388
0 X 100 0.6950587437411169
0 X 101 0.6938111274258477
0 X 102 0.694082241344987
0 X 103 0.7009465517266944
0 X 104 0.7069443026966344
0 X 105 0.6997770186742139
0 X 106 0.6976264385755707
0 X 107 0.6962392022664944
0 X 108 0.6996686951135215
0 X 109 0.6934981378574949
0 X 110 0.6959976196305064
0 X 111 0.6954221238113402
0 X 112 0.7044023532955868
0 X 113 0.7036976842882363
0 X 114 0.6917526160199022
0 X 115 0.702387101221004
0 X 116 0.6925444237581907
0 X 117 0.6983185124115396
0 X 118 0.699609205066387
0 X 119 0.6939838933977608
0 X 120 0.6951934180076363
0 X 121 0.6935936363978923
0 X 122 0.6942951577386699
0 X 123 0.6972288514013437
0 X 124 0.6949543380837254
0 X 125 0.6988753203950376
0 X 126 0.6965388013465971
0 X 127 0.6900648430329847
0 Y 0 0.6930306489415866
0 Y 1 0.7022108512265891
0 Y 2 0.7020995511207355
0 Y 3 0.9158558816521839
0 Y 4 0.7059882452062455
0 Y 5 0.7027869696323634
0 Y 6 0.7014853890391203
0 Y 7 0.7010763387416089
0 Y 8 0.7027019728848483
0 Y 9 0.704476104182518
0 Y 10 0.7970393394291577
0 Y 11 0.7017919422494572
0 Y 12 0.7022290651856482
0 Y 13 0.70221354616205
0 Y 14 0.8454212700157016
0 Y 15 0.9901484419643859
0 Y 16 0.697728312122041
0 Y 17 0.7023784048916759
0 Y 18 0.7022068639517236
0 Y 19 0.7727357154766434
0 Y 20 0.705909157887989
0 Y 21 0.6996713451456715
0 Y 22 0.7023243955534436
0 Y 23 0.701004332735966
0 Y 24 0.7022692520461713
0 Y 25 0.6898242464537356
0 Y 26 0.70280282278039
0 Y 27 0.7022125910943842
0 Y 28 0.7022137155961496
0 Y 29 0.7022136740220476
0 Y 30 0.702213670860587
0 Y 31 0.7022136706634723
0 Y 32 0.7000643468899586
0 Y 33 0.7022834686861371
0 Y 34 0.7022105116767626
0 Y 35 0.7009420323691895
0 Y 36 0.7022593433881521
0 Y 37 0.7027184784051186
0 Y 38 0.7021996839046601
0 Y 39 0.7022141229826556
0 Y 40 0.8234643160328768
0 Y 41 0.70226627558495
0 Y 42 0.7908138113365101
0 Y 43 0.6931463588565632
0 Y 44 0.7625647272919592
0 Y 45 0.7018406668122228
0 Y 46 0.702215226739708
0 Y 47 0.7022918312977825
0 Y 48 0.7022135101999594
0 Y 49 0.715517514895049
0 Y 50 0.7022138164293573
0 Y 51 0.6802408266271218
0 Y 52 0.7026043760962606
0 Y 53 0.7022038882316899
0 Y 54 0.4730301064991341
0 Y 55 0.8094576649552248
0 Y 56 0.8118037168269544
0 Y 57 0.7432110147495783
0 Y 58 0.7023580546973681
0 Y 59 0.7018480226281086
0 Y 60 0.7024467450478168
0 Y 61 0.7022108352626055
0 Y 62 0.7492027094251311
0 Y 63 0.7019077927066603
0 Y 64 0.7400695288673652
0 Y 65 0.7022120650027687
0 Y 66 0.7021390663533063
0 Y 67 0.7410712752765978
0 Y 68 0.7022168025178828
0 Y 69 0.7826935548995826
0 Y 70 0.7022130888438137
0 Y 71 0.7658470613588292
0 Y 72 0.7296454590103542
0 Y 73 0.7023656655735455
0 Y 74 0.5163402210325774
0 Y 75 0.717860845681239
0 Y 76 0.7026717539688154
0 Y 77 0.7015858587452333
0 Y 78 0.6544114635893014
0 Y 79 0.7051802318478476
0 Y 80 0.7286585339486654
0 Y 81 0.7022137381720392
0 Y 82 0.7022136709222315
0 Y 83 0.7022136684794483
0 Y 84 0.7025591467514795
0 Y 85 0.702202097331549
0 Y 86 0.7043560380824917
0 Y 87 0.7042220431888121
0 Y 88 0.7022193886579766
0 Y 89 0.7022135331042276
0 Y 90 0.8347301742199941
0 Y 91 0.7022136706227847
0 Y 92 0.7022136682608541
0 Y 93 0.7022136678088109
0 Y 94 0.702213669518013
0 Y 95 0.025174818600886096
0 Y 96 0.7022136679683842
0 Y 97 0.7022136693505809
0 Y 98 0.7795832135434094
0 Y 99 0.7022567494927648
0 Y 100 0.702212680486015
0 Y 101 0.6952615793580517
0 Y 102 0.702352081456319
0 Y 103 0.7611126131773424
0 Y 104 0.7045401765993771
0 Y 105 0.9747035481248197
